eds_x_code,subject,exam_frequency,avg_difficulty,roi_weight,last_updated
Ab-Ⅳ-2,國文,25,0.354,0.8089,2026-07-31
Ab-Ⅳ-1,國文,25,0.3064,0.7083,2026-07-31
Ab-Ⅳ-10,國文,20,0.3645,0.677,2026-07-31
Ab-Ⅳ-9,國文,20,0.353,0.6576,2026-07-31
Ab-Ⅳ-4,國文,20,0.3355,0.628,2026-07-31
Ab-Ⅳ-6,國文,20,0.331,0.6204,2026-07-31
Ab-Ⅳ-3,國文,20,0.3255,0.6111,2026-07-31
Ab-Ⅳ-7,國文,20,0.285,0.5426,2026-07-31
Ab-Ⅳ-8,國文,20,0.2705,0.518,2026-07-31
Ab-Ⅳ-5,國文,20,0.2405,0.4673,2026-07-31
N-Ⅳ-3,數學,15,0.4166,0.589,2026-07-31
N-Ⅳ-5,數學,14,0.3949,0.528,2026-07-31
N-Ⅳ-2,數學,12,0.4049,0.4715,2026-07-31
N-Ⅳ-10,數學,10,0.4693,0.4574,2026-07-31
N-Ⅳ-1,數學,13,0.3606,0.457,2026-07-31
N-Ⅳ-4,數學,13,0.352,0.4475,2026-07-31
N-Ⅳ-6,數學,10,0.363,0.3676,2026-07-31
N-Ⅳ-8,數學,9,0.4007,0.3655,2026-07-31
N-Ⅳ-7,數學,9,0.3981,0.3636,2026-07-31
N-Ⅳ-9,數學,9,0.3869,0.3551,2026-07-31
F-9-1,數學,5,0.4563,0.2535,2026-07-31
N-7-1,數學,3,0.3377,0.1463,2026-07-31
G-8-1,數學,1,0.52,0.1046,2026-07-31
A-8-1,數學,2,0.2329,0.1,2026-07-31
Ge-Ⅳ-4,社會,30,0.353,0.956,2026-07-31
Ge-Ⅳ-3,社會,30,0.338,0.918,2026-07-31
Ge-Ⅳ-2,社會,30,0.3263,0.8884,2026-07-31
Ge-Ⅳ-8,社會,25,0.3852,0.8749,2026-07-31
Ge-Ⅳ-10,社會,25,0.3704,0.8436,2026-07-31
Ge-Ⅳ-1,社會,30,0.3057,0.836,2026-07-31
Ge-Ⅳ-6,社會,25,0.3568,0.8148,2026-07-31
Ge-Ⅳ-9,社會,25,0.3528,0.8064,2026-07-31
Ge-Ⅳ-7,社會,25,0.3356,0.77,2026-07-31
Ge-Ⅳ-5,社會,25,0.3228,0.743,2026-07-31
Bc-Ⅳ-10,自然,25,0.4444,1.0,2026-07-31
Bc-Ⅳ-7,自然,25,0.4268,0.9628,2026-07-31
Bc-Ⅳ-9,自然,25,0.4268,0.9628,2026-07-31
Bc-Ⅳ-6,自然,25,0.4188,0.9459,2026-07-31
Bc-Ⅳ-8,自然,24,0.4325,0.9383,2026-07-31
Bc-Ⅳ-3,自然,27,0.3822,0.9332,2026-07-31
Bc-Ⅳ-1,自然,25,0.4056,0.918,2026-07-31
Bc-Ⅳ-5,自然,25,0.4036,0.9138,2026-07-31
Bc-Ⅳ-4,自然,24,0.3858,0.8436,2026-07-31
Bc-Ⅳ-2,自然,25,0.3696,0.8419,2026-07-31
Ae-Ⅳ-2,英語,25,0.4036,0.9138,2026-07-31
Ae-Ⅳ-3,英語,25,0.3852,0.8749,2026-07-31
Ae-Ⅳ-1,英語,25,0.3652,0.8326,2026-07-31
Ae-Ⅳ-8,英語,20,0.447,0.8165,2026-07-31
Ae-Ⅳ-7,英語,20,0.4195,0.77,2026-07-31
Ae-Ⅳ-9,英語,20,0.417,0.7658,2026-07-31
Ae-Ⅳ-10,英語,20,0.403,0.7421,2026-07-31
Ae-Ⅳ-6,英語,20,0.3885,0.7176,2026-07-31
Ae-Ⅳ-5,英語,20,0.379,0.7015,2026-07-31
Ae-Ⅳ-4,英語,20,0.377,0.6981,2026-07-31
